Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P3.50mm,1,100uF / 50V,
"C10, C3, C4, C5, C6, C7, C8, C9",0603,8,100nF,
C2,0805,1,10uF / 6.3V,
D1,D_MiniMELF,1,LL4148,
D2,D_SMB,1,B240,
D3,LED_OptoSupply_OSXX4008C1F_4x1.4mm_Horizontal,1,OSM44008C1F,
J1,PinSocket_2x15_P2.54mm_Horizontal,1,Conn_02x15_Odd_Even,
J2,PinSocket_1x03_P2.54mm_Horizontal,1,Conn_01x03,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03,
J4,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",1,2EDGRC-5.0-02P-14-100Z(H),
R1,0402,1,100k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R3, R4, R5, R6, R7, R8, R9",0402,24,10R,
R26,0402,1,1k,
SW1,OS103011MA7QP1,1,OS103011MA7QP1,
U1,RPi_Pico_SMD_TH,1,Pico,
"U2, U4",TSSOP-48_6.1x12.5mm_P0.5mm,2,SN74LVCH16T245,
U3,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,
